MonsterId,ModelId,DisplayName,TargetSelect,AttackMode,MonsterType,AggroMode,AlertRadius,BodyRadius,PushCoefficient,RepulsionScale,FacingYawFlip,MaxHP,MoveSpeed,ActiveMoveMult,PassiveMoveMult,AttackPower,AttackSpeed,AttackRange,MeleeWindupSeconds,RangedProjectileSpeed,RangedTimeoutSeconds,Skills,LootDrop
Monster_01,MonsterModel_05,腐尸,Nearest,Melee,1,ActiveChase,5,0.15,1,0.5,0,25,0.5,1,1,8,0.8,0.25,0.3,0,0,,Iron_1|Spirit_5
Monster_02,MonsterModel_05,骷髅兵,PreferWarrior,Ranged,1,ActiveChase,5,0.15,1,0.5,0,55,0.5,1,1,10,0.85,0.25,0,11,2.5,,Bone_1|Spirit_4
Monster_03,MonsterModel_05,墓园犬,PreferProtagonist,Melee,1,ActiveChase,5,0.15,1,0.5,0,85,0.5,1,1,12,0.9,0.25,0.34,0,0,,Iron_3|Spirit_7
Monster_04,MonsterModel_05,幽魂,Nearest,Melee,1,ActiveChase,5,0.15,1,0.5,0,115,0.5,1,1,14,0.95,0.25,0.36,0,0,,Bone_1|Spirit_6
Monster_05,MonsterModel_05,石像鬼,PreferWarrior,Ranged,1,ActiveChase,5,0.15,1,0.5,0,145,0.5,1,1,16,1,0.25,0,14,2.5,,Iron_2|Spirit_9
Monster_06,MonsterModel_05,巫妖徒,PreferProtagonist,Melee,1,ActiveChase,5,0.15,1,0.5,0,175,0.5,1,1,18,1.05,0.25,0.4,0,0,,Bone_1|Spirit_8
Monster_07,MonsterModel_05,骨龙幼崽,Nearest,Melee,1,ActiveChase,5,0.15,1,0.5,0,205,0.5,1,1,20,1.1,0.25,0.42,0,0,,Iron_1|Spirit_11
Monster_08,MonsterModel_05,血仆,PreferWarrior,Ranged,1,ActiveChase,5,0.15,1,0.5,0,235,0.5,1,1,22,1.15,0.25,0,17,2.5,,Bone_1|Spirit_10
Monster_09,MonsterModel_05,暗影刺客,PreferProtagonist,Melee,1,ActiveChase,5,0.15,1,0.5,0,265,0.5,1,1,24,1.2,0.25,0.46,0,0,,Iron_3|Spirit_13
Monster_10,MonsterModel_05,巨型僵尸,Nearest,Melee,1,ActiveChase,5,0.15,1,0.5,0,295,0.5,1,1,26,1.25,1.5,0.48,0,0,,Bone_1|Spirit_12
Monster_11,MonsterModel_06,骷髅猛士,Nearest,Melee,3,ActiveChase,10,0.3,1.1,1,0,10000,0.3,1,1,1500,1.25,0.35,1.25,0,0,,Bone_1|Spirit_12
Monster_12,MonsterModel_06,骷髅猛士,Nearest,Melee,1,ActiveChase,4,0.3,1.1,1,0,3000,0.3,1,1,50,1.25,0.35,1.25,0,0,,Bone_1|Spirit_12
