EquipId,EquipLevel,DisplayName,IconAssetId,ExpToNextLevel,ConvertExpValue,EffectDomain,EquipEffect,Description
Equip_IronShovel,1,铁铲,Icon_IronShovel,1,1,Dig,DigCursorRadius_0.06,每级增加挖坟半径10%（1级）
Equip_IronShovel,2,铁铲,Icon_IronShovel,1,1,Dig,DigCursorRadius_0.12,每级增加挖坟半径10%（2级）
Equip_IronShovel,3,铁铲,Icon_IronShovel,1,1,Dig,DigCursorRadius_0.18,每级增加挖坟半径10%（3级）
Equip_IronShovel,4,铁铲,Icon_IronShovel,1,1,Dig,DigCursorRadius_0.24,每级增加挖坟半径10%（4级）
Equip_IronShovel,5,铁铲,Icon_IronShovel,,1,Dig,DigCursorRadius_0.30,每级增加挖坟半径10%（满级）
Equip_MinerLamp,1,矿灯,Icon_MinerLamp,1,1,Dig,GraveSpawnWeightBonus_Q4_10|GraveSpawnWeightBonus_Q5_10|GraveSpawnWeightBonus_Q6_10,每级增加Q4/Q5/Q6生成权重10（1级）
Equip_MinerLamp,2,矿灯,Icon_MinerLamp,1,1,Dig,GraveSpawnWeightBonus_Q4_20|GraveSpawnWeightBonus_Q5_20|GraveSpawnWeightBonus_Q6_20,每级增加Q4/Q5/Q6生成权重10（2级）
Equip_MinerLamp,3,矿灯,Icon_MinerLamp,1,1,Dig,GraveSpawnWeightBonus_Q4_30|GraveSpawnWeightBonus_Q5_30|GraveSpawnWeightBonus_Q6_30,每级增加Q4/Q5/Q6生成权重10（3级）
Equip_MinerLamp,4,矿灯,Icon_MinerLamp,1,1,Dig,GraveSpawnWeightBonus_Q4_40|GraveSpawnWeightBonus_Q5_40|GraveSpawnWeightBonus_Q6_40,每级增加Q4/Q5/Q6生成权重10（4级）
Equip_MinerLamp,5,矿灯,Icon_MinerLamp,,1,Dig,GraveSpawnWeightBonus_Q4_50|GraveSpawnWeightBonus_Q5_50|GraveSpawnWeightBonus_Q6_50,每级增加Q4/Q5/Q6生成权重10（满级）
